uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
PR;BR-376;MAUA DA SERRA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;DUPLA;RETA;NÃO;0
TO;BR-153;GUARAI;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO TRANSVERSAL;CÉU CLARO;MÚLTIPLA;RETA;SIM;0
MG;BR-040;CONTAGEM;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;CURVA;NÃO;0
PB;BR-230;CABEDELO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;DEMAIS FALHAS NA VIA;TOMBAMENTO;CÉU CLARO;DUPLA;RETA;SIM;0
PR;BR-277;CURITIBA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;20;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"DECLIVE;RETA";SIM;0
AL;BR-423;DELMIRO GOUVEIA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-101;MACAE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;ULTRAPASSAGEM INDEVIDA;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
PB;BR-101;SANTA RITA;4.0;2.0;QUARTA-FEIRA;6.0;1;2;00h-02h;MADRUGADA;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;COLISÃO COM OBJETO;CÉU CLARO;DUPLA;RETA;NÃO;0
PR;BR-116;FAZENDA RIO GRANDE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;20;18h-20h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
SC;BR-101;PORTO BELO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;16;15h-17h;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;SIM;0
RO;BR-364;ARIQUEMES;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;ANIMAIS NA PISTA;ATROPELAMENTO DE ANIMAL;CÉU CLARO;DUPLA;"ACLIVE;RETA";NÃO;0
PR;BR-277;CASCAVEL;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
SE;BR-101;CRISTINAPOLIS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;TRANSITAR NO ACOSTAMENTO;EVENTOS ATÍPICOS;NUBLADO;SIMPLES;CURVA;NÃO;0
RO;BR-364;JI-PARANA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;ANOITECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
ES;BR-101;SERRA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;22;21h-23h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;DUPLA;CURVA;NÃO;0
RJ;BR-101;RIO DE JANEIRO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;ANOITECER;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;"VIADUTO;CURVA";NÃO;0
MG;BR-116;MURIAE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;21;21h-23h;NOITE;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-101;ANGRA DOS REIS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;22;21h-23h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;SIMPLES;ROTATÓRIA;SIM;0
MG;BR-040;PARACATU;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;AFUNDAMENTO OU ONDULAÇÃO NO PAVIMENTO;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-050;ARAGUARI;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;21;21h-23h;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;SAO JOSE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;23;21h-23h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;MÚLTIPLA;CURVA;NÃO;0
SP;BR-116;GUARULHOS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;23;21h-23h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;QUEDA DE OCUPANTE DE VEÍCULO;NUBLADO;MÚLTIPLA;RETA;SIM;0
SC;BR-101;BIGUACU;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;23;21h-23h;NOITE;PLENA NOITE;OBJETO ESTÁTICO SOBRE O LEITO CARROÇÁVEL;COLISÃO COM OBJETO;CÉU CLARO;MÚLTIPLA;RETA;NÃO;0
PB;BR-230;JOAO PESSOA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;23;21h-23h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;"DECLIVE;RETA";SIM;0
MG;BR-381;SAO GONCALO DO RIO ABAIXO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;21;21h-23h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;CURVA;SIM;0
RR;BR-174;AMAJARI;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;DEMAIS FALHAS NA VIA;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;SIMPLES;RETA;NÃO;0
SP;BR-116;JUQUITIBA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;2;00h-02h;MADRUGADA;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;CAPOTAMENTO;NEVOEIRO/NEBLINA;DUPLA;RETA;NÃO;0
RS;BR-386;SOLEDADE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"EM OBRAS;RETA";SIM;0
PB;BR-230;CAMPINA GRANDE;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;5;03h-05h;MADRUGADA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;CÉU CLARO;DUPLA;RETA;SIM;0
RJ;BR-040;DUQUE DE CAXIAS;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;4;03h-05h;MADRUGADA;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;DUPLA;RETA;SIM;0
RS;BR-158;PANAMBI;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;23;21h-23h;NOITE;PLENA NOITE;AFUNDAMENTO OU ONDULAÇÃO NO PAVIMENTO;INCÊNDIO;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-116;GUARULHOS;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;5;03h-05h;MADRUGADA;AMANHECER;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;MÚLTIPLA;RETA;SIM;0
MG;BR-116;ITAMBACURI;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;5;03h-05h;MADRUGADA;AMANHECER;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
PE;BR-101;GOIANA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;6;06h-08h;MANHA;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;CAPOTAMENTO;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;SAO JOSE;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
RJ;BR-101;NITEROI;-1.0;-1.0;SÁBADO;-1.0;0;5;03h-05h;MADRUGADA;AMANHECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;MÚLTIPLA;RETA;NÃO;0
ES;BR-101;SERRA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
ES;BR-101;JOAO NEIVA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-381;CARMO DA CACHOEIRA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;23;21h-23h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;DUPLA;"DECLIVE;RETA";NÃO;0
ES;BR-101;LINHARES;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;DUPLA;RETA;NÃO;0
